State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659,Max Jail Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier Full,Jail Only,Prison Eligible,Probation Eligible,SIS / Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restorable,Voting Rights Restored,Juvenile Sealing Available,License Impact,BTB Status,Consequence Severity,Key Collateral Consequences Raw,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing Benefits,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections & Relief Key
Homicide,Capital / First Degree Murder,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-10-101,Arkansas Code,Ark. Code Ann. § 5-10-101 | Arkansas Code Annotated § 5-10-101 | Arkansas Code § 5-10-101 | A.C.A. § 5-10-101 | A.C.A. 5-10-101 | ACA § 5-10-101 | ACA 5-10-101 | Ark.Code Ann.5-10-101 | Ark Code 5-10-101 | Ark. Code 5-10-101 | ar code sect 5-10-101 | § 5-10-101 | A.C.A.§ 5-10-101 | A.C.A.§5-10-101 | §5-10-101 | 5-10-101 | 510101 | 05-10-101 | 05-10-0101 | 5 10 101 | 5/10/101 | 5_10_101,Criminal Conviction,Capital Murder,Criminal,Conviction,Capital Felony,,Tier 5,Yes,No,Death or Life Without Parole,N/A (Death or LWOP only),Not applicable (LWOP/Death),LIFE,No parole (LWOP or execution),No,Yes,Court Discretion,No,No,N/A (LWOP/Death),No,No,Court Discretion,No,No,N/A (ineligible),No,Yes (Governor),No,N/A (LWOP/Death),N/A (adult offense),"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,5 – Permanent/Lifetime,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-10-101 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Homicide,Capital / First Degree Murder,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-10-102,Arkansas Code,Ark. Code Ann. § 5-10-102 | Arkansas Code Annotated § 5-10-102 | Arkansas Code § 5-10-102 | A.C.A. § 5-10-102 | A.C.A. 5-10-102 | ACA § 5-10-102 | ACA 5-10-102 | Ark.Code Ann.5-10-102 | Ark Code 5-10-102 | Ark. Code 5-10-102 | ar code sect 5-10-102 | § 5-10-102 | A.C.A.§ 5-10-102 | A.C.A.§5-10-102 | §5-10-102 | 5-10-102 | 510102 | 05-10-102 | 05-10-0102 | 5 10 102 | 5/10/102 | 5_10_102,Criminal Conviction,Murder in the First Degree,Criminal,Conviction,Class Y Felony,,Tier 5,Yes,Yes,10 to 40 years or Life,"Up to $15,000",Act 659 Severe Violent Category,GRID100,70%–100% time served required,No,Yes,No,No,No,100%,No,No,No,No,No,N/A (ineligible),No,Yes (Governor),No,Upon discharge / completion of sentence,No,"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,5 – Permanent/Lifetime,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-10-102 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Homicide,Second Degree Murder,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-10-103,Arkansas Code,Ark. Code Ann. § 5-10-103 | Arkansas Code Annotated § 5-10-103 | Arkansas Code § 5-10-103 | A.C.A. § 5-10-103 | A.C.A. 5-10-103 | ACA § 5-10-103 | ACA 5-10-103 | Ark.Code Ann.5-10-103 | Ark Code 5-10-103 | Ark. Code 5-10-103 | ar code sect 5-10-103 | § 5-10-103 | A.C.A.§ 5-10-103 | A.C.A.§5-10-103 | §5-10-103 | 5-10-103 | 510103 | 05-10-103 | 05-10-0103 | 5 10 103 | 5/10/103 | 5_10_103,Criminal Conviction,Murder in the Second Degree,Criminal,Conviction,Class A Felony,,Tier 4,Yes,No,6 to 30 years,"Up to $15,000",Violent Target Group,GRID70,70% minimum time served,No,Yes,Court Discretion,Restricted,Yes (70% minimum),70%,Limited,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (federal restriction may remain),Upon discharge / completion of sentence,N/A (adult offense),"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,4 – Violent/Serious Felony,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-10-103 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Homicide,Manslaughter,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-10-104,Arkansas Code,Ark. Code Ann. § 5-10-104 | Arkansas Code Annotated § 5-10-104 | Arkansas Code § 5-10-104 | A.C.A. § 5-10-104 | A.C.A. 5-10-104 | ACA § 5-10-104 | ACA 5-10-104 | Ark.Code Ann.5-10-104 | Ark Code 5-10-104 | Ark. Code 5-10-104 | ar code sect 5-10-104 | § 5-10-104 | A.C.A.§ 5-10-104 | A.C.A.§5-10-104 | §5-10-104 | 5-10-104 | 510104 | 05-10-104 | 05-10-0104 | 5 10 104 | 5/10/104 | 5_10_104,Criminal Conviction,Manslaughter,Criminal,Conviction,Class B Felony,7,Tier 4,Yes,No,5 to 20 years,"Up to $15,000",Violent Target Group,GRID70,70% minimum time served,No,Yes,Court Discretion,Restricted,Yes (standard),70%,Yes,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (federal restriction may remain),Upon discharge / completion of sentence,N/A (adult offense),"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,3 – Non-Violent Felony,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-10-104 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Homicide,Negligent Homicide,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-10-105,Arkansas Code,Ark. Code Ann. § 5-10-105 | Arkansas Code Annotated § 5-10-105 | Arkansas Code § 5-10-105 | A.C.A. § 5-10-105 | A.C.A. 5-10-105 | ACA § 5-10-105 | ACA 5-10-105 | Ark.Code Ann.5-10-105 | Ark Code 5-10-105 | Ark. Code 5-10-105 | ar code sect 5-10-105 | § 5-10-105 | A.C.A.§ 5-10-105 | A.C.A.§5-10-105 | §5-10-105 | 5-10-105 | 510105 | 05-10-105 | 05-10-0105 | 5 10 105 | 5/10/105 | 5_10_105,Criminal Conviction,Negligent Homicide,Criminal,Conviction,Class A Misdemeanor / Class D Felony (vehicle),,Tier 2,Yes,No,Up to 1 year / 6 years,"Up to $2,500 / $10,000",Non-violent track,GRID33,Misdemeanor served locally; Felony standard grid,No,Yes,Court Discretion,Restricted,Yes (standard),None (standard),Yes,Limited,Court Discretion,No,Conditional,3 years,Conditional,Yes (Governor),Conditional (federal restriction may remain),Upon discharge / completion of sentence,N/A (adult offense),"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,3 – Non-Violent Felony,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-10-105 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Homicide,Physician-Assisted Suicide & Ancillary Homicide Provisions,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-10-106,Arkansas Code,Ark. Code Ann. § 5-10-106 | Arkansas Code Annotated § 5-10-106 | Arkansas Code § 5-10-106 | A.C.A. § 5-10-106 | A.C.A. 5-10-106 | ACA § 5-10-106 | ACA 5-10-106 | Ark.Code Ann.5-10-106 | Ark Code 5-10-106 | Ark. Code 5-10-106 | ar code sect 5-10-106 | § 5-10-106 | A.C.A.§ 5-10-106 | A.C.A.§5-10-106 | §5-10-106 | 5-10-106 | 510106 | 05-10-106 | 05-10-0106 | 5 10 106 | 5/10/106 | 5_10_106,Criminal Conviction,Physician-Assisted Suicide,Criminal,Conviction,Class B Felony,7,Tier 4,Yes,No,20 years,"$15,000",Standard non-violent grid rules apply,GRID50,Eligible for earned release credits up to 50% of sentence under standard rules,No,Yes,Court Discretion,Restricted,Yes (50% minimum),50%,Yes,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),Permanent revocation of professional medical or nursing licenses,Exempt; background checks mandatory for any healthcare position,4 – Violent/Serious Felony,Absolute exclusion from medical/healthcare Medicare and Medicaid reimbursement registries,None indicated,None indicated,None indicated,None indicated,None indicated,Standard employer discretion,Ark. Code Ann. § 5-10-106 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Robbery & Burglary,Robbery,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-12-102,Arkansas Code,Ark. Code Ann. § 5-12-102 | Arkansas Code Annotated § 5-12-102 | Arkansas Code § 5-12-102 | A.C.A. § 5-12-102 | A.C.A. 5-12-102 | ACA § 5-12-102 | ACA 5-12-102 | Ark.Code Ann.5-12-102 | Ark Code 5-12-102 | Ark. Code 5-12-102 | ar code sect 5-12-102 | § 5-12-102 | A.C.A.§ 5-12-102 | A.C.A.§5-12-102 | §5-12-102 | 5-12-102 | 512102 | 05-12-102 | 05-12-0102 | 5 12 102 | 5/12/102 | 5_12_102,Criminal Conviction,Robbery,Criminal,Conviction,Class B Felony,7,Tier 4,Yes,No,20 years,"$15,000",Violent Target Group,GRID70,70% mandatory minimum time served required before parole eligibility,No,Yes,Court Discretion,Restricted,Yes (70% minimum),70%,Limited,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (state restoration possible; federal law applies),Upon discharge / completion of sentence,N/A (adult offense),"Disqualification from public safety, security, and banking licenses",Not protected; visible on background screenings,4 – Violent/Serious Felony,Ineligible for sealing; barred from state civil service employment,None indicated,None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-12-102 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Robbery & Burglary,Robbery,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-12-103,Arkansas Code,Ark. Code Ann. § 5-12-103 | Arkansas Code Annotated § 5-12-103 | Arkansas Code § 5-12-103 | A.C.A. § 5-12-103 | A.C.A. 5-12-103 | ACA § 5-12-103 | ACA 5-12-103 | Ark.Code Ann.5-12-103 | Ark Code 5-12-103 | Ark. Code 5-12-103 | ar code sect 5-12-103 | § 5-12-103 | A.C.A.§ 5-12-103 | A.C.A.§5-12-103 | §5-12-103 | 5-12-103 | 512103 | 05-12-103 | 05-12-0103 | 5 12 103 | 5/12/103 | 5_12_103,Criminal Conviction,Aggravated Robbery,Criminal,Conviction,Class Y Felony,10,Tier 5,Yes,Yes,"10 to 40 years, or Life",No fine authorized,Act 659 Severe Violent Category,LIFE,100% time served required (no parole for life sentences unless commuted),No,Yes,No,No,No,N/A (LWOP/Death),No,No,No,No,No,N/A (ineligible),No,Yes (Governor),No,Upon discharge / completion of sentence,No,"Permanent lifetime bar from commercial driving (CDL), security, or public-facing licenses",Exempt; visible across all background checks,5 – Permanent/Lifetime,Lifetime ban on firearm ownership; ineligible for any state program integration or alternative sentencing,Federal prohibition under 18 U.S.C. § 922(g),None indicated,None indicated,None indicated,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-12-103 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Assault & Battery,Battery,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-13-201,Arkansas Code,Ark. Code Ann. § 5-13-201 | Arkansas Code Annotated § 5-13-201 | Arkansas Code § 5-13-201 | A.C.A. § 5-13-201 | A.C.A. 5-13-201 | ACA § 5-13-201 | ACA 5-13-201 | Ark.Code Ann.5-13-201 | Ark Code 5-13-201 | Ark. Code 5-13-201 | ar code sect 5-13-201 | § 5-13-201 | A.C.A.§ 5-13-201 | A.C.A.§5-13-201 | §5-13-201 | 5-13-201 | 513201 | 05-13-201 | 05-13-0201 | 5 13 201 | 5/13/201 | 5_13_201,Criminal Conviction,Battery in the First Degree,Criminal,Conviction,Class B Felony,,Tier 4,Yes,No,5 to 20 years,"Up to $15,000",Violent Target Group,GRID70,70% minimum time served,No,Yes,Court Discretion,Restricted,Yes (70% minimum),70%,Limited,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (federal restriction may remain),Upon discharge / completion of sentence,N/A (adult offense),"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,4 – Violent/Serious Felony,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-13-201 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
Assault & Battery,Battery,Group 1: Core Penal,Title 5 (Criminal Law),§ 5-13-202,Arkansas Code,Ark. Code Ann. § 5-13-202 | Arkansas Code Annotated § 5-13-202 | Arkansas Code § 5-13-202 | A.C.A. § 5-13-202 | A.C.A. 5-13-202 | ACA § 5-13-202 | ACA 5-13-202 | Ark.Code Ann.5-13-202 | Ark Code 5-13-202 | Ark. Code 5-13-202 | ar code sect 5-13-202 | § 5-13-202 | A.C.A.§ 5-13-202 | A.C.A.§5-13-202 | §5-13-202 | 5-13-202 | 513202 | 05-13-202 | 05-13-0202 | 5 13 202 | 5/13/202 | 5_13_202,Criminal Conviction,Battery in the Second Degree,Criminal,Conviction,Class D Felony,,Tier 2,Yes,No,Up to 6 years,"Up to $10,000",Non-violent standard grid,GRID33,Standard grid rules apply,No,Yes,Court Discretion,Restricted,Yes (standard),None (standard),Yes,Limited,Court Discretion,No,No,N/A (ineligible),Conditional,Yes (Governor),Conditional (federal restriction may remain),Upon discharge / completion of sentence,N/A (adult offense),"Auto-bar: SL, CC | Board review: HC, ED, SW",Covered – Felony conviction,3 – Non-Violent Felony,Voting rights loss (state-dependent); Federal firearms prohibition (18 U.S.C. § 922(g)); Deportation risk for non-citizens (INA § 237); Public housing/federal benefits restrictions; Federal employment bar (select positions),Federal prohibition under 18 U.S.C. § 922(g),Potential removable offense under INA,Voting rights restrictions (state-dependent),Federal housing/benefits restrictions,None indicated,Disqualifying for regulated employment (see License Impact),Ark. Code Ann. § 5-13-202 | Title 5 (Criminal Law),Verified,2025,2025-06,,"CORRECTIONS & RELEASE
Yes = Definitively eligible
No = Not available
Eligible = Subject to standard rules
Court Discretion = Requires judicial approval
Limited = Restricted circumstances only
Restricted = Requires special findings
N/A = Not applicable to this record type
N/A (local) = Local sentence; state system N/A

RECORD RELIEF
Yes = Eligible under AR sealing/expungement rules
Conditional = Subject to waiting period or court approval
No = Not eligible under Arkansas law
Yes (Governor) = Eligible for AR Governor's pardon
Automatic = Restored upon meeting statutory conditions
Upon discharge = Restored upon full sentence completion

SEVERITY SCALE
1 – Minor Misdemeanor (Class B/C)
2 – Standard Misdemeanor (Class A)
3 – Non-Violent Felony (Class C/D)
4 – Violent/Serious Felony (Class A/B)
5 – Permanent/Lifetime (Class Y, Capital, Act 659)

RESEARCH STATUS
Verified = Reviewed against primary sources
Needs Review = Flagged for re-verification
Pending = Added but not yet verified"
