Row_Count,State_Category,Subcategory,Group_Category,Statutory_Title,Statute_Number,Authority_Type,Alternate_Citations,Record_Type,Offense_Description,Consequence_Category,Lifecycle_Stage,Offense_Classification,DOC_Seriousness_Level,Internal_Screening_Tier,Violent_Offense,Act_659_State_Equiv,Max_Jail_Prison_Time,Max_Financial_Fine,PAA_Release_Tier,Release_Code,Release_Parole_Tier,Jail_Only,Prison_Eligible,Probation_Eligible,SIS_Suspended_Sentence,Parole_Eligible,Mandatory_Minimum,Earned_Time_Credits,Good_Time_Eligible,Electronic_Monitoring,Work_Release_Eligible,Sealing_Eligible,Sealing_Waiting_Period,Expungement_Eligible,Pardon_Eligible,Firearm_Rights_Restoration,Voting_Rights_Restored,Juvenile_Sealing_Avail,License_Impact,BTB_Status,Consequence_Severity,Collateral_Raw_Summary,Collateral_Firearms,Collateral_Immigration,Collateral_Voting,Collateral_Housing,Collateral_Registry,Collateral_Employment,Source_Citation,Research_Status,Statute_Version,Last_Verified_Date,Last_Updated_By,Corrections_Key,Reportable_Scope
1,Homicide,Aiding Suicide,Violent Offenses,Inducing or Aiding Suicide,720 ILCS 5/12-34.5,Statutory State Code,"720 ILCS 5/12-34.5, 720ILCS5/12-34.5, 720ILCS51234.5, 720_ILCS_5_12_34_5, 0720-005-012-34.50, 720 ILCS 5/12-34.5(a)(1), Cook County 12-34.5",Criminal Conviction,Intentionally providing the physical means or participating in a physical act by which another person commits or attempts suicide,Felony Criminal Penalties,Post-Disposition Conviction,Class 2 Felony,Level 4 Moderate Felony,Tier 1 High Risk Exclusion,Yes,Non-Exempt Healthcare Disqualification,7 Years,$25000,Level 3 Restricted,IL-MSR-F2,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Standard Statutory Scale,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Ineligible,Automatic upon release from confinement,Not Applicable,Permanent professional license revocation,Exempt from initial Ban-the-Box protections,Severe Structural Impact,Triggers lifetime firearms ban and permanent automatic disqualification from healthcare or vulnerable adult employment fields,Permanent FOID revocation under 430 ILCS 65/,Potential deportation tracking as a crime of violence,Restored automatically post-incarceration,Severe private landlord restrictions,,Absolute statutory bar for healthcare educational and public trust roles,720 ILCS 5/12-34.5,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,Lifetime reportable (Conviction)
2,Homicide,Capital / First Degree Murder,Violent Offenses,First Degree Murder,720 ILCS 5/9-1,Statutory State Code,"720 ILCS 5/9-1, 720ILCS5/9-1, 720ILCS591, 720_ILCS_5_9_1, 0720-005-009-0000, 720 ILCS 5/9-1(a)(1), Chicago Muni 9-1",Criminal Conviction,Killing an individual without lawful justification while intending to kill or do great bodily harm or knowing such acts create a strong probability of death,Felony Criminal Penalties,Post-Disposition Conviction,Special Class Felony,Level 1 Maximum Seriousness,Tier 1 High Risk Exclusion,Yes,Permanent Healthcare Disqualification,Natural Life,$25000,Level 4 Absolute Restriction,IL-MSR-MURDER,3 Years Mandatory Supervised Release,No,Yes,No,Ineligible,No (Truth-in-Sentencing 100% rule applies),20 Years,Ineligible under 730 ILCS 5/3-6-3,No,Not Applicable,No,No,Ineligible,No,Yes,Ineligible,Automatic upon release from confinement,Not Applicable,Permanent automatic professional license denial,Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,Permanent exclusion from all public trust educational healthcare and financial sector employment; lifetime firearms prohibition,Lifetime statutory firearm ban,Aggravated felony triggering mandatory deportation,Restored post-release,Absolute denial across public and private housing networks,Murderer and Violent Offender Against Youth Registry (730 ILCS 154/) if victim was a minor,Lifetime statutory employment bar across all regulated sectors,720 ILCS 5/9-1,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,Lifetime reportable (Conviction)
3,Homicide,Capital / First Degree Murder,Violent Offenses,First Degree Murder - Arrest Record,720 ILCS 5/9-1-A,Statutory State Code,"720 ILCS 5/9-1-A, 720ILCS5/9-1-A, 720ILCS591A, 720_ILCS_5_9_1_A, 0720-005-009-A000",Arrest Record / Dropped Charges,Custodial arrest or formal charging instrument filed for First Degree Murder resulting in a non-conviction outcome,Administrative / Non-Conviction,Pre-Disposition / Dismissed,Non-Conviction Entry,,Tier 2 Conditional Adjudication Review,Yes,Not Applicable,0 Days,$0,Level 1 Unrestricted,IL-NONCONV,,No,No,No,Not Applicable,No,,Not Applicable,No,No,No,Yes,Immediate upon official dismissal/acquittal,Yes,Not Applicable,Not Impacted by non-conviction,Unaffected,Not Applicable,Evaluated via individual professional board review,Fully protected under Illinois human rights background check limits,Low Adverse Impact,Subject to immediate expungement or sealing under 20 ILCS 2630/5.2; cannot be used as an automatic bar to employment,No statutory restriction based on dismissed charges,Minimal impact if cleared but requires certified disposition documents,Unaffected,Protected from automatic exclusion under Cook County and state fair housing guidelines,,Private sector employment use heavily restricted by Illinois Human Rights Act amendments,20 ILCS 2630/5.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,7-year reportable limit (Non-Conviction)
4,Homicide,Fetal Homicide,Violent Offenses,Intentional Homicide of an Unborn Child,720 ILCS 5/9-1.2,Statutory State Code,"720 ILCS 5/9-1.2, 720ILCS5/9-1.2, 720ILCS5912, 720_ILCS_5_9_1_2, 0720-005-009-0012, 720 ILCS 5/9-1.2(a)",Criminal Conviction,Causing the death of an unborn child without lawful justification while intending to kill or cause great bodily harm to the pregnant mother or unborn child,Felony Criminal Penalties,Post-Disposition Conviction,Special Class Felony,Level 1 Maximum Seriousness,Tier 1 High Risk Exclusion,Yes,Permanent Healthcare Disqualification,Natural Life,$25000,Level 4 Absolute Restriction,IL-MSR-FETAL,3 Years Mandatory Supervised Release,No,Yes,No,Ineligible,No (Truth-in-Sentencing 100% rule applies),20 Years,Ineligible under 730 ILCS 5/3-6-3,No,Not Applicable,No,No,Ineligible,No,Yes,Ineligible,Automatic upon release from confinement,Not Applicable,Permanent automatic professional license denial,Exempt from initial Ban-the-Box protections,Maximum Severe Structural Impact,Absolute statutory exclusion from healthcare educational childcare and civic-facing operations; permanent loss of firearms rights,Permanent statutory firearm ban,Aggravated felony triggering deportability,Restored post-release,Severe exclusionary policies applied by landlords,Murderer and Violent Offender Against Youth Registry tracking if minor provisions intersect,Total lifecycle structural employment ban,720 ILCS 5/9-1.2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,Lifetime reportable (Conviction)
5,Homicide,Manslaughter - Involuntary,Violent Offenses,Involuntary Manslaughter,720 ILCS 5/9-3,Statutory State Code,"720 ILCS 5/9-3, 720ILCS5/9-3, 720ILCS593, 720_ILCS_5_9_3, 0720-005-009-0003, 720 ILCS 5/9-3(a)",Criminal Conviction,Unintentionally killing an individual without lawful justification where acts whether lawful or unlawful are likely to cause death or great bodily harm and are performed recklessly,Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony,Level 5 Moderate Felony,Tier 1 High Risk Exclusion,Yes,Non-Exempt Healthcare Disqualification,5 Years,$25000,Level 3 Restricted,IL-MSR-F3,1 Year Mandatory Supervised Release,No,Yes,Yes,Available via Judicial Discretion,Yes,,Restricted under partial Truth-in-Sentencing depending on specific endangerment factors,Yes,Discretionary Placement,Yes,No,Ineligible,No,Yes,Requires formal state petition processing,Automatic upon release from confinement,Not Applicable,Severe regulatory disciplinary review and potential revocation,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Permanent restriction on firearm ownership; multi-year to permanent barriers for commercial driving, educational, and medical facilities",Felony conviction bar under 430 ILCS 65/,Crime involving moral turpitude or crime of violence risk based on reckless tiering,Restored post-release,Extended exclusionary window for corporate residential housing,,Blocked from regulated childcare eldercare and municipal public service positions,720 ILCS 5/9-3,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Verified via 2026 IL General Assembly,Lifetime reportable (Conviction)
6,Homicide,Manslaughter - Voluntary,Violent Offenses,Second Degree Murder (Voluntary Manslaughter Equivalent),720 ILCS 5/9-2,Statutory State Code,"720 ILCS 5/9-2, 720ILCS5/9-2, 720ILCS592, 720_ILCS_5_9_2, 0720-005-009-0002, 720 ILCS 5/9-2(a)",Criminal Conviction,"Killing an individual while under a sudden and intense passion resulting from serious provocation, or acting under an unreasonable belief that self-defense justification existed",Felony Criminal Penalties,Post-Disposition Conviction,Class 1 Felony,Level 2 High Seriousness Felony,Tier 1 High Risk Exclusion,Yes,Permanent Healthcare Disqualification,20 Years,$25000,Level 4 Absolute Restriction,IL-MSR-F1,2 Years Mandatory Supervised Release,No,Yes,Yes (under highly restricted statutory exceptions),Ineligible in most practical applications,Yes,4 Years (if prison is imposed instead of probation),Restricted to 50% truth-in-sentencing rule under 730 ILCS 5/3-6-3,No,Discretionary post-release placement,No,No,Ineligible,No,Yes,Ineligible,Automatic upon release from confinement,Not Applicable,Permanent professional license forfeiture,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Permanent restriction on public employment, healthcare registry presence, and weapon ownership rights",Lifetime statutory firearm ban,Crime of violence/aggravated felony classification ensuring high risk of deportation,Restored post-release,Systematic corporate housing bans,,Total barrier for vulnerable populations or financial management positions,720 ILCS 5/9-2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Modified under current Illinois homicide naming conventions,Lifetime reportable (Conviction)
7,Homicide,Physician-Assisted Suicide & Ancillary Homicide Provisions,Violent Offenses,Inducing or Aiding Suicide - Healthcare Provider Violation,720 ILCS 5/12-34.5(a-5),Statutory State Code,"720 ILCS 5/12-34.5(a-5), 720ILCS5/12-34.5(a-5), 720ILCS51234.5a5, 720_ILCS_5_12_34_5_a_5, 0720-005-012-34.5a",Criminal Conviction,A licensed healthcare provider knowingly or intentionally providing the precise medical mechanism or prescribing lethal compounds to execute an unauthorized assisted suicide outside regulatory boundary limits,Felony Criminal Penalties,Post-Disposition Conviction,Class 2 Felony,Level 4 Moderate Felony,Tier 1 High Risk Exclusion,Yes,Permanent Healthcare Disqualification,7 Years,$25000,Level 3 Restricted,IL-MSR-F2-MED,1 Year Mandatory Supervised Release,No,Yes,Yes,Available,Yes,,Standard statutory calculation paths,Yes,Discretionary,Yes,No,Ineligible,No,Yes,Defiant on felony status,Automatic upon release from confinement,Not Applicable,Mandatory immediate and permanent clinical license revocation via IDFPR,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Permanent exclusion from the entire healthcare ecosystem, corporate pharmacy practice, and federal Medicare/Medicaid reimbursement systems",Felony conviction bar under 430 ILCS 65/,Administrative review for moral turpitude metrics,Restored post-release,Standard felony restrictions,,"Total healthcare exclusion; barred from insurance billing, home health operations, and clinical consulting",720 ILCS 5/12-34.5,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Isolated subsection for targeted healthcare screening compliance matrices,Lifetime reportable (Conviction)
8,Homicide,Reckless Homicide,Violent Offenses,Reckless Homicide,720 ILCS 5/9-3(a)(Vehicular),Statutory State Code,"720 ILCS 5/9-3(a), 720ILCS5/9-3, 720ILCS593Vehicular, 720_ILCS_5_9_3_A, 0720-005-009-0003V",Criminal Conviction,"Unintentionally killing an individual while driving a vehicle, operating an aircraft, or managing watercraft recklessly in a manner likely to cause death or great bodily harm",Felony Criminal Penalties,Post-Disposition Conviction,Class 3 Felony,Level 5 Moderate Felony,Tier 1 High Risk Exclusion,Yes,Non-Exempt Healthcare Disqualification,5 Years (elevated to Class 2 or higher if special safety zones intersect),$25000,Level 3 Restricted,IL-MSR-RH,1 Year Mandatory Supervised Release,No,Yes,Yes,Available,Yes,,Variable based on secondary chemical testing elements under 730 ILCS 5/3-6-3,Yes,Discretionary,Yes,No,Ineligible,No,Yes,Standard felony processing constraints apply,Automatic upon release from confinement,Not Applicable,Mandatory immediate minimum 12-month driver's license revocation by the Secretary of State,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Permanent loss of Commercial Driver's License (CDL) privileges; extensive limitations within transport, corporate logistics, and mobile fleet employment",Barred under 430 ILCS 65/,Evaluated on specific operational recklessness facts,Restored post-release,Standard corporate leasing filters apply,,"Absolute lifetime disqualification from heavy machinery, school bus routing, and logistics management operations",720 ILCS 5/9-3,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Clarified to cleanly separate base reckless homicide from aggravated DUI-related homicide tracks,Lifetime reportable (Conviction)
9,Homicide,Second Degree Murder,Violent Offenses,Second Degree Murder,720 ILCS 5/9-2,Statutory State Code,"720 ILCS 5/9-2, 720ILCS5/9-2, 720ILCS592, 720_ILCS_5_9_2, 0720-005-009-0002, 720 ILCS 5/9-2(a)(1)",Criminal Conviction,"Committing acts that constitute first-degree murder but where mitigating factors are proven, specifically an intense passion from serious provocation or an imperfect belief in self-defense",Felony Criminal Penalties,Post-Disposition Conviction,Class 1 Felony,Level 2 High Seriousness Felony,Tier 1 High Risk Exclusion,Yes,Permanent Healthcare Disqualification,20 Years,$25000,Level 4 Absolute Restriction,IL-MSR-M2,2 Years Mandatory Supervised Release,No,Yes,Yes,Restricted,Yes,4 Years (if prison sentence is executed),Mandated 50% confinement duration under Truth-in-Sentencing protocols,No,Discretionary,No,No,Ineligible,No,Yes,Ineligible,Automatic upon release from confinement,Not Applicable,Permanent professional board revocation,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Lifetime firearm prohibition; sweeping employment barriers in all corporate, security, governmental, and fiduciary platforms",Defiant statutory firearm ban under 430 ILCS 65/,Classed as an aggravated felony ensuring structural removal processes,Restored post-release,Strict corporate landlord denials,,"Excluded from public trust, state agency, banking, and clinical operations",720 ILCS 5/9-2,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Cross-validated with Illinois multi-tiered homicide reform logs,Lifetime reportable (Conviction)
10,Homicide,Vehicular Homicide,Violent Offenses,Aggravated Driving Under the Influence - Death of Another (Vehicular Homicide Equivalent),625 ILCS 5/11-501(d)(1)(F),Statutory State Code,"625 ILCS 5/11-501(d)(1)(F), 625ILCS5/11-501, 625ILCS511501d1F, 625_ILCS_5_11_501, 0625-005-11-0501d",Criminal Conviction,"Operating a motor vehicle under the influence of alcohol, drugs, or intoxicating compounds where the violation was a proximate cause of a death of one or more persons",Felony Criminal Penalties,Post-Disposition Conviction,Class 2 Felony,Level 3 High-Intermediate Felony,Tier 1 High Risk Exclusion,Yes,Non-Exempt Healthcare Disqualification,14 Years (elevated to 28 years if multiple deaths occur),$25000,Level 4 Absolute Restriction,IL-MSR-DUI-DEATH,2 Years Mandatory Supervised Release,No,Yes,No (Unless court determines extraordinary circumstances exist prison is statutorily mandated),Ineligible,Yes,3 Years,Restricted to 85% Truth-in-Sentencing confinement minimums under 730 ILCS 5/3-6-3,No,Pre-and-post-release monitoring protocols,No,No,Ineligible,No,Yes,Ineligible due to Class 2 felony parameters,Automatic upon release from confinement,Not Applicable,Permanent driver's license revocation by Illinois Secretary of State,Exempt from initial Ban-the-Box protections,Severe Structural Impact,"Permanent commercial driver ban; total exclusion from logistics, supply chain routing, medical fields, and corporate risk operations",Permanent FOID restriction,Complex removal evaluations based on DUI-felony nexus,Restored post-release,Rejection by standard underwriting models,,"Total barrier across passenger transport, heavy equipment deployment, school districts, and delivery networks",625 ILCS 5/11-501,Complete and Live Verified,2026 Active Statutes,2026-07-02,Senior Regulatory Data Validator,Maps Illinois' unique structural blending of DUI and Homicide into the core Vehicle Code,Lifetime reportable (Conviction)
