State Category,Subcategory,Group Category,Statutory Title,Statute Number,Authority Type,Alternate Citations,Record Type,Offense Description,Consequence Category,Lifecycle Stage,Offense Classification,DOC Seriousness Level,Internal Screening Tier,Violent Offense,Act 659 / State Equiv,Max Jail/Prison Time,Max Financial Fine,PAA Release Tier,Release Code,Release Parole Tier,Jail Only,Prison Eligible,Probation Eligible,SIS/Suspended Sentence,Parole Eligible,Mandatory Minimum,Earned Time Credits,Good Time Eligible,Electronic Monitoring,Work Release Eligible,Sealing Eligible,Sealing Waiting Period,Expungement Eligible,Pardon Eligible,Firearm Rights Restor.,Voting Rights Restored,Juvenile Sealing Avail,License Impact,BTB Status,Consequence Severity,Collateral Raw Summary,Collateral Firearms,Collateral Immigration,Collateral Voting,Collateral Housing,Collateral Registry,Collateral Employment,Source Citation,Research Status,Statute Version,Last Verified Date,Last Updated By,Corrections Key,State Category.1
Homicide,Aiding Suicide,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-216,State Code,Tenn. Code Ann. § 39-13-216; Tenn. Code Ann. Section 39-13-216; Tenn.Code Ann.39-13-216; Tenn Code Ann 39-13-216; T.C.A. § 39-13-216; T.C.A. 39-13-216; TCA § 39-13-216; TCA 39-13-216; tca 39-13-216; State Code 39-13-216; Muni Code 39-13-216; City Ord. 39-13-216; 39-13-216; 3913216; 39-13-0216; 39130216; 039-013-0216; 39 13 216; 39/13/216; 39_13_216,Criminal Conviction,Assisted Suicide — Intentionally or knowingly providing the physical means or participating in a physical act assisting another to end their life.,Criminal / Public Integrity,Conviction,Class D Felony (Upgraded to Class C Felony if the victim is a minor),Level 3,Tier 3,No (Unless actual physical coercion is applied),No,12 Years (Class D baseline max); 15 Years if upgraded to Class C,"$5,000 (Class D max); $10,000 if Class C",Standard Felony Matrix,GRID-30,Range I standard eligibility begins after serving 30% of the sentence.,No,Yes,Yes (Court Discretion),Yes (Court Discretion),Yes,,Yes,Yes,Yes (Conditional),Yes (Conditional),"No (All felony offenses under TCA Title 39, Chapter 13 are explicitly barred from expungement)",,No,Yes (Governor),No (Federal Bar Remains under 18 U.S.C. § 922(g)(1) due to felony status),Automatic upon full completion of sentence and discharge of all legal financial obligations.,Yes (Conditional),"Direct automatic revocation of healthcare, commercial, or fiduciary professional licenses.",Excluded (Violent/Homicide categories are exempt from Ban-the-Box protections),4,Permanent felony record; lifetime federal firearm ban; loss of professional licensure; exclusion from public trust hiring.,Explicit permanent bar under both state law and 18 U.S.C. § 922(g)(1).,Deemed a Crime Involving Moral Turpitude (CIMT); highly subject to deportation/inadmissibility under INA § 237.,Disfranchised during active sentence; restorable post-sentence via certificate of restoration.,Subject to denial by public housing authorities and private landlords due to felony safety screenings.,None (Unless victim characteristics trigger specific vulnerable-adult criteria).,"Permanent disqualification from employment in schools, healthcare facilities, and government law enforcement agencies.",Tenn. Code Ann. § 39-13-216,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-216,Homicide
Homicide,Capital / First Degree Murder,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-202,State Code,Tenn. Code Ann. § 39-13-202; Tenn. Code Ann. Section 39-13-202; Tenn.Code Ann.39-13-202; Tenn Code Ann 39-13-202; T.C.A. § 39-13-202; T.C.A. 39-13-202; TCA § 39-13-202; TCA 39-13-202; tca 39-13-202; State Code 39-13-202; Muni Code 39-13-202; City Ord. 39-13-202; 39-13-202; 3913202; 39-13-0202; 39130202; 039-013-0202; 39 13 202; 39/13/202; 39_13_202,Criminal Conviction,First Degree Murder — Premeditated and intentional killing of another; or a killing resulting from a destructive device/bomb.,Criminal / Public Integrity,Conviction,Capital Offense (Classed one tier above Class A Felony),Level 12 (Highest severity ranking),Tier 5,Yes (Explicit statutory violent offense designation),Yes (Triggers 100% sentence service requirements under Tennessee's Truth in Sentencing laws),"Death, Life Without Parole, or Life Imprisonment","$50,000",No Parole / 100% Tier,LIFE / DEATH,Life with parole requires serving a flat minimum of 51 to 60 calendar years before eligibility review.,No,Yes,No,No,Conditional (Only on standard 'Life' track after 51+ calendar years; 0% chance on LWOP track),Life Imprisonment,No (Strictly limited/cannot reduce the calendar minimum required),No (Cannot be used to advance the release date),Pre-Release Only (If commuted or paroled after 51+ years),No,No,,No,Yes (Governor),No (Permanent ban under state and federal law),Permanent Loss (Homicide convictions under TCA § 39-13-202 trigger lifetime disenfranchisement in TN),No,"Permanent absolute bar from any commercial, corporate, or professional licensure.",Excluded,5,Lifetime imprisonment or capital execution; absolute loss of all constitutional rights; permanent civil death.,Permanent statutory bar under state law and 18 U.S.C. § 922(g)(1).,Categorized as an Aggravated Felony under INA § 101(a)(43)(A); results in automatic deportation.,Permanent statutory forfeiture under TN election laws; un-restorable.,"Lifetime absolute denial across all federal, state, and private platforms.",None (Unless correlated with an offense that triggers a sex offender registration mandate).,"Universal, lifelong employment disqualification across both public and private corporate sectors.",Tenn. Code Ann. § 39-13-202,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-202,Homicide
Homicide,Fetal Homicide,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-214,State Code,Tenn. Code Ann. § 39-13-214; Tenn. Code Ann. Section 39-13-214; Tenn.Code Ann.39-13-214; Tenn Code Ann 39-13-214; T.C.A. § 39-13-214; T.C.A. 39-13-214; TCA § 39-13-214; TCA 39-13-214; tca 39-13-214; State Code 39-13-214; Muni Code 39-13-214; City Ord. 39-13-214; 39-13-214; 3913214; 39-13-0214; 39130214; 039-013-0214; 39 13 214; 39/13/214; 39_13_214,Criminal Conviction,"Inclusion of an Unborn Child — Statutory provision directing that any criminal homicide (Murder, Manslaughter) applies to an unborn child at any stage of gestation.",Criminal / Public Integrity,Conviction,"Classified identical to the underlying homicide offense level committed (e.g., First-Degree, Second-Degree, or Reckless).",Level 9 to Level 12 (Dependent on primary charge layer),Tier 5,Yes,Yes (Sentencing enhancement rules mirror standard homicide guidelines),Death or Life Imprisonment (If applied to First Degree Murder framework),"Up to $50,000",Standard Violent Crime Track,Dependent on applied tier (TX3G equivalent),Demands up to 85% to 100% time served under state truth-in-sentencing guidelines for violent crimes.,No,Yes,No (Restricted heavily across basic application rules),No,Conditional (Subject to the core classification limits of the homicide tier),"Bound to specific class minimums (e.g., 15-25 years minimum for 2nd Degree Murder track).",Restricted,Restricted,Pre-Release Only,No,No,,No,Yes (Governor),No,Permanent Loss if linked to First-Degree Murder; otherwise conditional upon full sentence completion.,No,"Total revocation of all professional, commercial, or public corporate licensures.",Excluded,5,Severe multi-decade felony sentence footprint; permanent loss of firearm rights; extensive public screening bars.,Permanent disqualification under state law and 18 U.S.C. § 922(g)(1).,Classified as an Aggravated Felony (Crime of Violence) under INA § 101(a)(43)(F).,Voter forfeiture matching baseline homicide categorization frameworks.,"Universal denial in public, subsidized, and private housing arrays.",,"Permanent bar from public infrastructure, health sectors, child care, and government security paths.",Tenn. Code Ann. § 39-13-214,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-214,Homicide
Homicide,Manslaughter — Involuntary,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-215,State Code,Tenn. Code Ann. § 39-13-215; Tenn. Code Ann. Section 39-13-215; Tenn.Code Ann.39-13-215; Tenn Code Ann 39-13-215; T.C.A. § 39-13-215; T.C.A. 39-13-215; TCA § 39-13-215; TCA 39-13-215; tca 39-13-215; State Code 39-13-215; Muni Code 39-13-215; City Ord. 39-13-215; 39-13-215; 3913215; 39-13-0215; 39130215; 039-013-0215; 39 13 215; 39/13/215; 39_13_215,Criminal Conviction,Reckless Homicide — The reckless killing of another individual (Serves as Tennessee's statutory replacement for involuntary manslaughter).,Criminal / Public Integrity,Conviction,Class D Felony,Level 5,Tier 4,Yes (Included under Tennessee's 'Violent Offense' grouping for safety tracking),No,12 Years (Range III persistent offender maximum); 2-4 years standard Range I.,"$5,000",Standard Violent / Felony,GRID-30,Eligibility for parole begins at a minimum of 30% time served for standard Range I offenders.,No,Yes,Yes (Court Discretion),Yes (Court Discretion),Yes,,Yes,Yes,Yes (Conditional),Yes (Conditional),"No (Explicit statutory bar for all offenses in Title 39, Chapter 13)",,No,Yes (Governor),No (Federal felony firearms restriction remains),Automatic upon full expiration of the felony sentence and payment of court costs.,Yes,Immediate professional licensure suspension/revocation by state regulatory boards.,Excluded,4,Lifetime felony status; loss of firearm rights; exclusion from public-trust career options.,Permanent exclusion under state parameters and 18 U.S.C. § 922(g)(1).,Can trigger deportation processing as a crime of violence if a sentence of 1 year or more is imposed.,Active disenfranchisement during custodial or community supervision phases.,Rejection risk from private and commercial landlord screening matrices.,,"Strict background blocks in childcare, commercial driving, or corporate security fields.",Tenn. Code Ann. § 39-13-215,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-215,Homicide
Homicide,Physician-Assisted Suicide & Ancillary Homicide Provisions,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-216,State Code,Tenn. Code Ann. § 39-13-216; Tenn. Code Ann. Section 39-13-216; Tenn.Code Ann.39-13-216; Tenn Code Ann 39-13-216; T.C.A. § 39-13-216; T.C.A. 39-13-216; TCA § 39-13-216; TCA 39-13-216; tca 39-13-216; State Code 39-13-216; Muni Code 39-13-216; City Ord. 39-13-216; 39-13-216; 3913216; 39-13-0216; 39130216; 039-013-0216; 39 13 216; 39/13/216; 39_13_216,Criminal Conviction & Licensing Action,"Assisted Suicide (Medical Provider / Ancillary Focus) — Explicit criminalization of assisting a suicide, functioning as a direct bar against physician-assisted dying frameworks.",Criminal / Healthcare Licensure / Financial,Conviction / Administrative Review,Class D Felony,Level 3,Tier 4,No,No,12 Years (Persistent classification ceiling),"$5,000",Standard Felony Track,GRID-30,Standard 30% baseline time served required before parole hearing access.,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,,No,Yes (Governor),No,Automatic once sentence expires and civil restitution requirements are complete.,N/A (Typically charged against adults/licensed professionals),"Mandatory, permanent revocation of DEA registration, state medical board licenses, and nursing credentials.",Excluded,4,Total loss of medical licensure; multi-year felony status; permanent federal exclusions from Medicare/Medicaid programs.,Permanent firearm disability under 18 U.S.C. § 922(g)(1).,Subject to classification as a Crime Involving Moral Turpitude (CIMT).,Disenfranchised for the duration of custodial sentence/probation phase.,Standard private commercial landlord screening vulnerability.,Civil damages reporting to national healthcare practitioner databanks.,"Lifetime exclusion from healthcare billing, pharmaceutical positions, and state public agencies.",Tenn. Code Ann. § 39-13-216,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-216-MED,Homicide
Homicide,Reckless Homicide,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-215,State Code,Tenn. Code Ann. § 39-13-215; Tenn. Code Ann. Section 39-13-215; Tenn.Code Ann.39-13-215; Tenn Code Ann 39-13-215; T.C.A. § 39-13-215; T.C.A. 39-13-215; TCA § 39-13-215; TCA 39-13-215; tca 39-13-215; State Code 39-13-215; Muni Code 39-13-215; City Ord. 39-13-215; 39-13-215; 3913215; 39-13-0215; 39130215; 039-013-0215; 39 13 215; 39/13/215; 39_13_215,Criminal Conviction,Reckless Homicide — Consciously disregarding a substantial and unjustifiable risk resulting in another person's death.,Criminal / Public Integrity,Conviction,Class D Felony,Level 5,Tier 4,Yes,No,12 Years,"$5,000",Standard Felony Track,GRID-30,Requires 30% flat time served for standard classification before parole eligibility.,No,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,No,,No,Yes (Governor),No,Automatic post-sentence completion and clearance of financial court debts.,Yes,Structural block or direct revocation across multiple state-issued licensing classes.,Excluded,4,Felony status; permanent loss of firearm rights; strict public sector employment restrictions.,Lifetime disability enforced via federal 18 U.S.C. § 922(g)(1).,Potential aggravated felony classification based on final sentence duration.,Voting status suspended while under active criminal justice control.,Significant private market rental barriers.,,"Permanent restriction in educational environments, security screening positions, and municipal hiring tracks.",Tenn. Code Ann. § 39-13-215,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-215-REC,Homicide
Homicide,Second Degree Murder,Group 1: Core Penal,Tennessee Code Annotated,§ 39-13-210,State Code,Tenn. Code Ann. § 39-13-210; Tenn. Code Ann. Section 39-13-210; Tenn.Code Ann.39-13-210; Tenn Code Ann 39-13-210; T.C.A. § 39-13-210; T.C.A. 39-13-210; TCA § 39-13-210; TCA 39-13-210; tca 39-13-210; State Code 39-13-210; Muni Code 39-13-210; City Ord. 39-13-210; 39-13-210; 3913210; 39-13-0210; 39130210; 039-013-0210; 39 13 210; 39/13/210; 39_13_210,Criminal Conviction,Second Degree Murder — A knowing killing of another; or a killing resulting from the unlawful distribution of Schedule I or II drugs.,Criminal / Public Integrity,Conviction,Class A Felony,Level 11,Tier 5,Yes (Statutorily designated violent felony),Yes (Subject to Tennessee's 100% Truth in Sentencing enforcement),60 Years (Range III maximum sentence ceiling); 15-25 years for Range I.,"$50,000",100% Release Group,LIFE / FLAT,Offenders must serve 100% of the sentence minus a maximum 15% allowance for earned good time credits.,No,Yes,No,No,No (Strictly flat time tracking),15 Years (Baseline for Range I standard),Yes (Capped at a maximum 15% total reduction),Yes (Subject to the 15% statutory retention cap),Pre-Release Only,No,No,,No,Yes (Governor),No,Automatic upon complete expiration of sentence length and payment of all court fines/fees.,No,"Lifetime structural ban from all public, corporate, or fiduciary licensing.",Excluded,5,Decades of flat prison time; lifetime federal firearm bar; permanent loss of commercial opportunities.,Permanent firearm prohibition under state code and 18 U.S.C. § 922(g)(1).,Automatic categorization as an Aggravated Felony under INA § 101(a)(43)(A); leads to immediate deportation.,"Rights revoked during the active service of prison time, parole, and supervision phases.",Persistent background rejection from public housing networks and private markets.,,"Permanent barrier from schools, corporate finance, civil service, and public safety positions.",Tenn. Code Ann. § 39-13-210,Verified,2026 Base,2026-06,SYS-LEGAL-MSR,TN-39-13-210,Homicide
Homicide,Capital / First Degree Murder,Group 1: Core Penal / Severe Violent Crimes,Tennessee Code Annotated (T.C.A.),§ 39-13-202,State Code,Tenn. Code Ann. § 39-13-202; Tenn. Code Ann. Section 39-13-202; Tenn.Code Ann.39-13-202; Tenn Code Ann 39-13-202; T.C.A. § 39-13-202; T.C.A. 39-13-202; TCA § 39-13-202; TCA 39-13-202; tca 39-13-202; State Code 39-13-202; Muni Code 39-13-202; City Ord. 39-13-202; 39-13-202; 3913202; 39-13-0202; 39130202; 039-013-0202; 39 13 202; 39/13/202; 39_13_202,Criminal Conviction,"First Degree Murder; intentional/premeditated killing, or felony murder during enumerated crimes (theft, rape, etc.)",Criminal / Severe Public Safety,Post-Conviction / Custodial Sentencing,Capital Class A Felony,Level 12 (Maximum State Grid Category),Tier 1 (Highest Severity),Yes (State and Federal Statutory Definition),"Yes (T.C.A. § 40-35-501 ""85% to 100% violent offender clear listing"")","Death, Life Without Parole, or Life Imprisonment","$50,000",Capital/Life Release Restrictions,LIFE / DEATH / NO-PAROLE,100% flat time for Life Without Parole; minimum 51-60 calendar years served required for standard Life sentence.,No,Yes,No,No (Explicit statutory bar for Class A violent felonies),Conditional (Only on standard Life sentence after 51+ years),51 Years (if Death or LWOP is not imposed),No (Exempted from standard sentence reduction credits),No (Strict limits; does not reduce the 51-year structural threshold),Pre-Release / Parole Supervision Only,No,No,N/A (Permanently barred),No,Yes (Governor Clemency Only),No (Permanent Federal Bar under 18 U.S.C. § 922(g)(1) and State Bar),Permanent Loss (Homicide convictions permanently disenfranchise in TN),No (If transferred to adult court),"Permanent revocation of all commercial, medical, professional, and fiduciary licenses.",Excluded (Safety-sensitive/violent crime exclusions apply universally),5 (Extreme Impact),"Total permanent loss of civil liberties, lifetime voting ban, absolute firearm prohibition, lifetime public housing ban.",Lifetime restriction under State Law and 18 U.S.C. § 922(g)(1).,Aggravated Felony; mandatory deportation/deportability under INA § 237.,Permanently disqualified under Tennessee election laws.,Denied federally funded public housing and Section 8 voucher eligibility.,Vulnerable Adult / Child Abuse registry placement if victim matched criteria.,"Permanent statutory bar from public service, healthcare, education, or childcare.",T.C.A. § 39-13-202,Verified,2024 Base Code / 2026 Legislative Carryforward,2026-06,TN_SYS_DESK,TN-3913202-M1,Homicide
Homicide,Second Degree Murder,Group 1: Core Penal / Severe Violent Crimes,Tennessee Code Annotated (T.C.A.),§ 39-13-210,State Code,Tenn. Code Ann. § 39-13-210; Tenn. Code Ann. Section 39-13-210; Tenn.Code Ann.39-13-210; Tenn Code Ann 39-13-210; T.C.A. § 39-13-210; T.C.A. 39-13-210; TCA § 39-13-210; TCA 39-13-210; tca 39-13-210; State Code 39-13-210; Muni Code 39-13-210; City Ord. 39-13-210; 39-13-210; 3913210; 39-13-0210; 39130210; 039-013-0210; 39 13 210; 39/13/210; 39_13_210,Criminal Conviction,"Second Degree Murder; the knowing killing of another, or death resulting from unlawful drug distribution.",Criminal / Severe Public Safety,Post-Conviction / Custodial Sentencing,Class A Felony,Level 11,Tier 1 (Highest Severity),Yes,Yes (T.C.A. § 40-35-501 mandatory 100% service requirement minus localized credits),60 Years (Range I baseline is 15–25 years),"$50,000",High-Violent Restrictions,TN85-100,Requires 85% to 100% actual calendar time served before any parole availability.,No,Yes,No (Restricted for Class A felonies involving death),No,Conditional (Only after reaching the 85% mandatory minimum window),85% of sentence imposed,Highly Restricted (Cannot reduce sentence below 85% threshold),Restricted,Pre-Release / Parole Supervision Only,No,No,N/A (Permanently barred),No,Yes (Governor),No (Federal Bar Remains),Permanent Loss,No,"Permanent revocation of professional, healthcare, commercial, or public trust licenses.",Excluded,5 (Extreme Impact),"Full loss of civil liberties, lifetime voting ban, firearm ban, mandatory federal immigration deportation.",Lifetime restriction under State Law and 18 U.S.C. § 922(g)(1).,Aggravated Felony / Crime of Moral Turpitude (Deportation certain).,Permanently disqualified.,High-risk exclusion from public housing programs.,General Homicide tracking profiles; Child/Adult abuse registry if victim conditions apply.,"Absolute bar from government employment, medical fields, financial positions.",T.C.A. § 39-13-210,Verified,2024 Base Code / 2026 Amendments Included,2026-06,TN_SYS_DESK,TN-3913210-M2,Homicide
Homicide,Manslaughter — Voluntary,Group 1: Core Penal / Severe Violent Crimes,Tennessee Code Annotated (T.C.A.),§ 39-13-211,State Code,Tenn. Code Ann. § 39-13-211; Tenn. Code Ann. Section 39-13-211; Tenn.Code Ann.39-13-211; Tenn Code Ann 39-13-211; T.C.A. § 39-13-211; T.C.A. 39-13-211; TCA § 39-13-211; TCA 39-13-211; tca 39-13-211; State Code 39-13-211; Muni Code 39-13-211; City Ord. 39-13-211; 39-13-211; 3913211; 39-13-0211; 39130211; 039-013-0211; 39 13 211; 39/13/211; 39_13_211,Criminal Conviction,Voluntary Manslaughter; intentional or knowing killing committed in a state of passion produced by adequate provocation.,Criminal / Severe Public Safety,Post-Conviction / Custodial Sentencing,Class C Felony,Level 8,Tier 2 (High Severity),Yes,Yes (Listed under violent offender release rules),15 Years (Range I baseline is 3 to 6 years),"$10,000",Standard Violent Release Group,TN-V1,Must serve 45% to 85% depending on Range determination before parole eligibility.,No,Yes,Court Discretion (Possible if sentence length is under 10 years and split-confinement is approved),Restricted,Conditional,None (Subject to standard Range structures),Yes (Capped by violent crime category ceilings),Yes,Conditional Pre-Release Option,Conditional,No,N/A (Violent felonies involving death are permanently unsealable),No,Yes (Governor),No (Federal Bar Remains under 18 U.S.C. § 922(g)(1)),Permanent Loss,No,Automatic revocation of healthcare and professional practice privileges.,Excluded,4 (High Impact),Permanent loss of firearm and voting rights; long-term employment disqualification across regulated industries.,Lifetime restriction under State Law and 18 U.S.C. § 922(g)(1).,Deportable crime of violence / Aggravated Felony.,Permanently disqualified.,Denied public housing entry options.,State-level database references.,"Long-term or permanent bars in education, banking, healthcare, and government service.",T.C.A. § 39-13-211,Verified,2024 Base Code,2026-06,TN_SYS_DESK,TN-3913211-M3,Homicide
